breach_id,ticket_id,breach_type,sla_target_hours,actual_hours,breach_minutes
67,710,resolution,72,75.61,216
68,716,resolution,8,12.18,251
69,741,resolution,24,25.1,65
70,743,resolution,24,29.83,349
71,748,resolution,24,27.17,190
72,801,resolution,24,29.98,359
73,803,resolution,72,73.08,64
74,808,resolution,8,11.72,223
75,819,resolution,72,75.91,234
76,821,resolution,24,29.43,325
77,824,resolution,24,29.57,334
78,826,resolution,24,27.83,230
79,835,resolution,72,76.59,275
80,840,resolution,24,25.82,109
81,841,resolution,24,25.77,106
82,857,resolution,8,13.81,348
83,860,resolution,24,28.02,241
84,863,resolution,72,73.67,100
85,884,resolution,72,75.63,217
86,896,resolution,24,28.61,276
87,903,resolution,72,74.7,162
88,905,resolution,4,6.63,157
89,909,resolution,24,26.2,131
90,914,resolution,72,74.64,158
91,928,resolution,24,26.37,142
92,942,resolution,24,28.01,240
93,944,resolution,24,28.01,240
94,955,resolution,72,76.72,282
95,966,resolution,24,25.99,119
96,971,resolution,72,76.03,241
97,973,resolution,24,25.6,95
98,980,resolution,8,10.96,177
99,983,resolution,8,13.7,342
100,990,resolution,24,28.78,286
101,991,resolution,72,77.71,342
102,1004,resolution,8,10.72,163
103,1018,resolution,72,73.86,111
104,1039,resolution,8,9.01,60
105,1062,resolution,24,25.22,73
106,1063,resolution,24,28.21,252
107,1071,resolution,24,27.67,220
108,1073,resolution,24,27.52,211
109,1089,resolution,24,26.37,142
110,1101,resolution,24,26.59,155
111,1106,resolution,8,9.58,95
112,1123,resolution,24,29.47,328
113,1127,resolution,24,29.35,320
114,1134,resolution,24,27.87,232
115,1145,resolution,24,25.66,99
116,1147,resolution,24,25.96,117
117,1149,resolution,8,10.08,124
118,1152,resolution,24,27.67,219
119,1154,resolution,24,25.17,70
120,1160,resolution,24,28.76,285
121,1166,resolution,24,25.81,108
122,1203,resolution,72,77.42,325
123,1218,resolution,24,27.61,216
124,1226,resolution,72,77.66,339
125,1229,resolution,72,75.4,203
126,1233,resolution,24,26.77,165
127,1234,resolution,72,73.41,84
128,1239,resolution,72,76.42,265
129,1248,resolution,24,29.26,315
130,1251,resolution,72,76.23,253
131,1255,resolution,8,9.34,80
132,1270,resolution,72,74.02,121
133,1274,resolution,24,26.91,174
134,1276,resolution,8,10.05,123
135,1290,resolution,24,25.52,91
136,1307,resolution,24,29.34,320
137,1308,resolution,72,73.78,106
138,1310,resolution,72,77.71,342
139,1316,resolution,72,73.6,96
140,1331,resolution,24,29.5,329
141,1344,resolution,24,28.95,297
142,1351,resolution,24,27.05,182
143,1366,resolution,24,26.08,125
144,1380,resolution,72,73.78,106
145,1383,resolution,8,10.17,130
146,1384,resolution,24,29.58,334
147,1387,resolution,24,26.85,170
148,1418,resolution,24,29.58,334
149,1445,resolution,24,25.97,118
150,1447,resolution,8,9.61,96
151,1449,resolution,24,25.74,104
152,1456,resolution,72,74.3,137
153,1469,resolution,24,25.14,68
154,1470,resolution,24,25.48,88
155,1473,resolution,72,75.73,223
156,1482,resolution,24,26.45,147
157,1517,resolution,24,27.81,228
158,1544,resolution,72,76.8,288
159,1545,resolution,24,29.63,337
160,1556,resolution,24,29.06,303
161,1581,resolution,72,74.58,154
162,1582,resolution,4,5.2,72
163,1594,resolution,24,25.5,90
164,1600,resolution,24,28.91,294
165,1602,resolution,8,13.51,330
166,1605,resolution,8,13.9,353
167,1612,resolution,8,11.77,226
168,1614,resolution,24,25.5,89
169,1624,resolution,4,7.7,221
170,1630,resolution,4,8.18,250
171,1654,resolution,8,13.28,317
172,1661,resolution,72,77.65,339
173,1702,resolution,8,13.21,312
174,1710,resolution,8,9.21,72
175,1718,resolution,24,29.35,321
176,1723,resolution,8,12.48,268
177,1729,resolution,72,76.92,294
178,1733,resolution,24,28.5,270
179,1734,resolution,24,28.84,290
180,1735,resolution,72,74.24,134
181,1761,resolution,72,74.28,136
182,1770,resolution,72,76.23,254
183,1772,resolution,72,73.85,110
184,1776,resolution,72,75.19,191
185,1790,resolution,24,26.86,171
186,1796,resolution,24,26.62,157
187,1798,resolution,24,27.4,203
188,1800,resolution,24,27.76,225
189,1804,resolution,8,12.7,281
190,1805,resolution,72,73.76,105
191,1806,resolution,24,28.36,261
192,1833,resolution,72,73.57,94
193,1834,resolution,72,74.12,127
194,1836,resolution,24,27.75,224
195,1851,resolution,24,28.99,299
196,1864,resolution,72,76.68,281
197,1865,resolution,24,29.31,318
198,1869,resolution,24,26.4,144
199,1871,resolution,72,73.29,77
200,1875,resolution,8,10.06,123
201,1882,resolution,24,26.29,137
202,1894,resolution,8,11.9,234
203,1898,resolution,72,74.73,163
204,1908,resolution,24,29.35,320
205,1914,resolution,72,73.49,89
206,1918,resolution,4,6.7,162
207,1933,resolution,24,29.52,330
208,1936,resolution,72,76.05,242
209,1940,resolution,72,76.34,260
210,1963,resolution,72,75.65,219
211,1965,resolution,72,76.89,293
212,1966,resolution,24,26.33,139
213,1968,resolution,4,6.19,131
214,1969,resolution,24,29.84,350
215,1980,resolution,72,76.76,285
216,1991,resolution,24,25.32,79
217,1996,resolution,72,76.29,257
218,2004,resolution,24,27.59,215
219,2020,resolution,24,27.21,192
220,2036,resolution,72,76.85,291
221,2038,resolution,8,12.01,240
222,2060,resolution,72,74.62,157
223,2061,resolution,8,13.84,350
224,2063,resolution,24,29.83,350
225,2072,resolution,4,7.77,226
226,2080,resolution,72,77.55,333
227,2094,resolution,72,75.88,232
228,2109,resolution,24,29.32,319
229,2122,resolution,24,26.51,150
230,2130,resolution,72,76.49,269
231,2132,resolution,72,73.15,69
232,2135,resolution,72,75.37,202
233,2140,resolution,72,74.41,144
234,2143,resolution,8,9.6,96
235,2151,resolution,8,13.84,350
236,2157,resolution,72,76.17,250
237,2179,resolution,4,5.68,100
238,2183,resolution,8,13.71,342
239,2187,resolution,72,73.75,105
240,2188,resolution,8,12.15,248
241,2214,resolution,24,26.92,175
242,2221,resolution,24,29.44,326
243,2226,resolution,24,29.37,322
244,2252,resolution,72,74.41,144
245,2257,resolution,24,29.61,336
246,2262,resolution,8,12.3,257
247,2267,resolution,24,25.46,87
248,2271,resolution,24,27.03,181
249,2273,resolution,24,25.44,86
250,2290,resolution,24,29.25,315
251,2295,resolution,72,75.09,185
252,2298,resolution,24,28.37,261
253,2322,resolution,72,77.61,336
254,2325,resolution,24,28.69,281
255,2333,resolution,72,77.94,356
256,2359,resolution,72,76.78,287
257,2367,resolution,4,5.47,88
258,2386,resolution,72,74.84,170
259,2387,resolution,72,77.95,357
260,2393,resolution,4,9.62,337
261,2395,resolution,72,75.23,193
262,2426,resolution,24,25.52,91
263,2433,resolution,24,27.89,233
264,2444,resolution,72,77.83,349
265,2459,resolution,8,9.22,73
266,2466,resolution,8,11.52,211
267,2469,resolution,24,26.47,148
268,2481,resolution,8,10.3,138
269,2482,resolution,8,9.27,76
270,2484,resolution,72,75.74,224
271,2511,resolution,24,29.53,331
272,2518,resolution,24,27.48,208
273,2519,resolution,72,77.33,319
274,2522,resolution,24,25.25,75
275,2523,resolution,24,27.88,232
276,2530,resolution,72,76.7,282
277,2552,resolution,24,27.86,231
278,2559,resolution,24,26.94,176
279,2562,resolution,72,77.69,341
280,2563,resolution,24,29.83,349
281,2581,resolution,72,73.34,80
282,2585,resolution,72,77.12,307
283,2590,resolution,72,76.34,260
284,2592,resolution,8,13.17,309
285,2594,resolution,72,74.08,125
286,2598,resolution,8,9.1,65
287,2611,resolution,24,29.34,320
288,2631,resolution,72,76.54,272
289,2642,resolution,24,29.89,353
290,2646,resolution,24,26.75,165
291,2651,resolution,72,73.24,74
292,2663,resolution,72,74.32,139
293,2664,resolution,24,26.55,152
294,2673,resolution,24,28.33,259
295,2675,resolution,24,25.35,81
296,2676,resolution,72,74.99,179
297,2682,resolution,24,25.44,86
298,2697,resolution,72,77.62,337
299,2725,resolution,72,76.91,294
300,2727,resolution,72,77.28,316
301,2733,resolution,8,9.72,102
302,2757,resolution,72,77.69,341
303,2758,resolution,24,25.61,96
304,2763,resolution,24,26.72,163
305,2769,resolution,24,28.68,280
306,2774,resolution,72,77.7,341
307,2781,resolution,72,77.8,347
308,2795,resolution,24,27.54,212
309,2801,resolution,72,73.35,80
310,2804,resolution,24,28.94,296
311,2806,resolution,24,27.91,234
312,2807,resolution,72,75.63,218
313,2809,resolution,72,77.14,308
314,2822,resolution,24,26.64,158
315,2824,resolution,24,27.85,231
316,2828,resolution,24,25.41,84
317,2830,resolution,72,75.27,196
318,2833,resolution,8,10.69,161
319,2865,resolution,24,25.13,67
320,2873,resolution,24,26.7,162
321,2913,resolution,72,73.21,72
322,2914,resolution,24,29.53,331
323,2919,resolution,24,25.24,74
324,2927,resolution,72,75.32,199
325,2933,resolution,72,77.0,299
326,2937,resolution,24,25.06,63
327,2955,resolution,24,25.21,72
328,2965,resolution,72,75.53,211
329,2976,resolution,24,26.84,170
330,2987,resolution,24,29.75,345
331,2988,resolution,72,76.5,269
332,2999,resolution,24,26.61,156
333,3004,resolution,72,73.74,104
334,3012,resolution,24,25.81,108
335,3015,resolution,24,29.79,347
336,3018,resolution,24,28.54,272
337,3025,resolution,72,75.27,196
338,3038,resolution,72,74.5,150
339,3039,resolution,24,26.81,168
340,3066,resolution,24,29.34,320
341,3067,resolution,24,34.83,649
342,3068,resolution,72,84.09,725
343,3069,resolution,24,27.28,196
344,3071,resolution,72,75.66,219
345,3073,resolution,24,32.75,524
346,3074,resolution,24,35.26,675
347,3076,resolution,24,28.08,244
348,3078,resolution,24,30.19,371
349,3084,resolution,72,78.13,367
350,3085,resolution,8,20.27,736
351,3088,resolution,24,29.69,341
352,3089,resolution,24,26.84,170
353,3090,resolution,72,74.07,123
354,3091,resolution,24,33.51,570
355,3095,resolution,8,11.68,220
356,3099,resolution,24,31.33,439
357,3101,resolution,24,28.8,287
358,3102,resolution,8,14.54,392
359,3103,resolution,24,29.47,328
360,3105,resolution,24,24.55,32
361,3106,resolution,8,12.47,268
362,3107,resolution,24,25.06,63
363,3108,resolution,24,33.69,581
364,3112,resolution,72,77.42,325
365,3113,resolution,24,28.79,287
366,3118,resolution,24,36.9,774
367,3119,resolution,72,81.03,542
368,3121,resolution,24,31.02,421
369,3122,resolution,24,24.58,34
370,3123,resolution,24,30.67,399
371,3124,resolution,24,29.37,322
372,3125,resolution,24,25.45,86
373,3126,resolution,24,26.46,147
374,3127,resolution,24,30.01,360
375,3128,resolution,72,74.19,131
376,3129,resolution,24,24.12,7
377,3130,resolution,24,26.88,172
378,3131,resolution,4,9.52,331
379,3132,resolution,24,28.36,261
380,3135,resolution,24,28.21,252
381,3136,resolution,24,29.35,320
382,3139,resolution,24,24.76,45
383,3140,resolution,24,27.94,236
384,3143,resolution,8,18.05,602
385,3145,resolution,24,26.73,163
386,3147,resolution,72,72.72,43
387,3148,resolution,72,77.57,334
388,3151,resolution,8,18.49,629
389,3152,resolution,8,14.16,369
390,3153,resolution,24,26.77,166
391,3154,resolution,24,28.64,278
392,3164,resolution,24,32.84,530
393,3165,resolution,4,8.37,262
394,3171,resolution,72,75.75,224
395,3172,resolution,72,75.05,182
396,3173,resolution,72,82.9,653
397,3174,resolution,24,32.94,536
398,3175,resolution,8,11.15,188
399,3176,resolution,8,10.29,137
400,3177,resolution,24,33.89,593
401,3179,resolution,72,77.79,347
402,3180,resolution,24,25.21,72
403,3182,resolution,24,32.26,495
404,3184,resolution,24,27.89,233
405,3185,resolution,8,13.42,324
406,3187,resolution,24,27.82,229
407,3188,resolution,24,24.45,26
408,3191,resolution,8,11.16,189
409,3192,resolution,24,32.23,493
410,3197,resolution,8,16.18,491
411,3199,resolution,8,16.07,484
412,3201,resolution,24,25.71,102
413,3203,resolution,8,13.79,347
414,3204,resolution,4,8.46,267
415,3208,resolution,8,11.39,203
416,3209,resolution,8,11.95,237
417,3210,resolution,8,14.46,387
418,3212,resolution,24,27.67,220
419,3214,resolution,72,80.05,483
420,3216,resolution,72,74.1,125
421,3217,resolution,8,11.02,181
422,3219,resolution,24,27.19,191
423,3222,resolution,8,9.86,111
424,3224,resolution,24,27.52,211
425,3225,resolution,72,75.03,181
426,3226,resolution,8,9.51,90
427,3228,resolution,4,14.79,647
428,3231,resolution,24,24.28,16
429,3232,resolution,72,74.42,145
430,3233,resolution,72,75.12,187
431,3236,resolution,24,26.18,130
432,3239,resolution,4,9.62,336
433,3241,resolution,8,13.02,301
434,3244,resolution,24,26.02,120
435,3250,resolution,24,35.09,665
436,3253,resolution,24,25.48,88
437,3260,resolution,72,85.08,784
438,3262,resolution,24,28.79,287
439,3275,resolution,24,26.96,177
440,3288,resolution,4,6.25,135
441,3294,resolution,72,75.26,195
442,3299,resolution,24,27.17,190
443,3301,resolution,8,9.89,113
444,3304,resolution,72,77.24,314
445,3305,resolution,72,74.88,172
446,3310,resolution,24,29.66,339
447,3314,resolution,8,12.34,260
448,3320,resolution,72,74.84,170
449,3326,resolution,24,27.72,223
450,3360,resolution,24,28.59,275
451,3362,resolution,8,10.67,160
452,3369,resolution,24,26.09,125
453,3374,resolution,4,7.73,223
454,3381,resolution,8,9.89,113
455,3382,resolution,24,27.23,194
456,3385,resolution,24,26.07,124
457,3391,resolution,24,27.82,229
458,3395,resolution,72,74.79,167
459,3399,resolution,24,28.78,286
460,3401,resolution,24,29.34,320
461,3406,resolution,24,27.5,209
462,3417,resolution,72,76.46,267
463,3421,resolution,4,5.19,71
464,3422,resolution,72,75.21,192
465,3431,resolution,24,27.22,193
466,3436,resolution,24,29.97,358
467,3451,resolution,72,75.96,237
468,3454,resolution,72,76.18,250
469,3456,resolution,72,76.35,261
470,3466,resolution,24,28.59,275
471,3467,resolution,8,13.05,302
472,3483,resolution,72,75.19,191
473,3484,resolution,72,73.63,98
474,3488,resolution,24,27.17,190
475,3512,resolution,72,74.49,149
476,3516,resolution,72,76.66,279
477,3521,resolution,8,12.52,271
478,3530,resolution,72,73.91,114
479,3558,resolution,24,25.53,92
480,3574,resolution,24,26.98,178
481,3576,resolution,24,29.46,327
482,3587,resolution,8,9.14,68
483,3590,resolution,24,25.15,68
484,3595,resolution,8,12.07,244
485,3620,resolution,24,25.46,87
486,3656,resolution,72,75.98,238
487,3661,resolution,8,9.36,81
488,3669,resolution,24,25.0,60
489,3670,resolution,72,77.0,300
490,3673,resolution,24,25.59,95
491,3676,resolution,24,29.34,320
492,3686,resolution,8,12.57,274
493,3692,resolution,72,77.75,344
494,3695,resolution,72,76.39,263
495,3716,resolution,24,29.09,305
496,3727,resolution,24,29.66,339
497,3728,resolution,24,27.43,205
498,3729,resolution,72,75.01,180
499,3737,resolution,72,75.52,211
500,3740,resolution,72,75.98,238
501,3755,resolution,24,25.4,84
502,3756,resolution,24,29.84,350
503,3761,resolution,4,6.43,146
504,3768,resolution,72,77.15,309
505,3781,resolution,72,77.82,349
506,3793,resolution,72,76.74,284
507,3796,resolution,24,28.1,245
508,3800,resolution,24,28.73,283
509,3810,resolution,72,74.73,163
510,3821,resolution,24,28.31,258
511,3822,resolution,72,74.61,156
512,3823,resolution,24,27.05,182
513,3825,resolution,24,29.52,331
514,3829,resolution,24,25.37,82
515,3830,resolution,72,74.16,129
516,3851,resolution,24,29.07,304
517,3853,resolution,72,75.82,229
518,3874,resolution,8,9.23,73
519,3900,resolution,72,74.3,138
520,3908,resolution,24,26.45,147
521,3924,resolution,24,26.94,176
522,3925,resolution,24,27.8,228
523,3931,resolution,24,26.53,151
524,3937,resolution,72,76.37,262
525,3947,resolution,24,27.63,218
526,3950,resolution,72,77.57,334
527,3965,resolution,72,75.04,182
528,3983,resolution,4,6.83,169
529,3984,resolution,72,77.89,353
530,3986,resolution,8,11.16,189
531,3989,resolution,8,13.48,328
532,4002,resolution,72,77.81,348
533,4006,resolution,72,75.63,218
534,4014,resolution,24,27.86,231
535,4050,resolution,24,28.12,247
536,4064,resolution,24,25.62,97
537,4086,resolution,24,28.43,265
538,4088,resolution,24,26.82,169
539,4113,resolution,24,26.07,124
540,4115,resolution,8,10.72,163
541,4120,resolution,24,29.96,357
542,4129,resolution,72,77.98,358
543,4143,resolution,72,76.12,247
544,4147,resolution,72,77.81,348
545,4157,resolution,72,73.95,116
546,4166,resolution,72,75.19,191
547,4175,resolution,24,26.51,150
548,4178,resolution,72,77.82,349
549,4179,resolution,24,26.7,161
550,4182,resolution,24,25.41,84
551,4185,resolution,72,73.05,62
552,4220,resolution,24,25.19,71
553,4223,resolution,24,28.93,295
554,4229,resolution,8,13.62,337
555,4234,resolution,72,73.52,91
556,4265,resolution,72,74.29,137
557,4277,resolution,24,27.4,204
558,4281,resolution,24,26.67,160
559,4285,resolution,72,75.9,233
560,4286,resolution,72,77.89,353
561,4292,resolution,24,25.63,97
562,4302,resolution,72,73.87,111
563,4303,resolution,72,75.22,193
564,4316,resolution,24,29.49,329
565,4319,resolution,24,29.66,339
566,4323,resolution,24,29.11,306
567,4324,resolution,72,77.39,323
568,4340,resolution,24,29.12,307
569,4343,resolution,72,77.54,332
570,4348,resolution,72,74.34,140
571,4373,resolution,72,75.37,201
572,4377,resolution,72,73.61,96
573,4381,resolution,72,74.47,148
574,4391,resolution,8,13.86,351
575,4398,resolution,72,75.34,200
576,4402,resolution,72,74.87,171
577,4403,resolution,24,29.89,353
578,4404,resolution,24,28.2,252
579,4422,resolution,72,73.09,65
580,4424,resolution,24,26.39,143
581,4427,resolution,24,28.96,297
582,4441,resolution,8,10.37,142
583,4444,resolution,8,10.84,170
584,4451,resolution,8,9.73,103
585,4452,resolution,72,74.63,157
586,4456,resolution,24,26.5,149
587,4459,resolution,24,26.97,178
588,4460,resolution,8,12.25,254
589,4465,resolution,72,73.12,67
590,4468,resolution,72,75.74,224
591,4469,resolution,24,28.6,275
592,4475,resolution,72,76.29,257
593,4482,resolution,72,77.6,336
594,4497,resolution,72,76.22,252
595,4519,resolution,24,28.95,296
596,4523,resolution,24,25.52,91
597,4527,resolution,72,75.04,182
598,4537,resolution,24,27.75,225
599,4545,resolution,72,73.45,86
600,4562,resolution,4,8.09,245
601,4564,resolution,8,11.56,213
602,4565,resolution,24,28.85,291
603,4567,resolution,24,27.6,216
604,4576,resolution,72,77.6,336
605,4581,resolution,24,25.55,93
606,4602,resolution,72,73.62,96
607,4603,resolution,24,29.32,319
608,4606,resolution,72,73.28,76
609,4611,resolution,72,73.29,77
610,4618,resolution,24,25.52,91
611,4628,resolution,24,27.19,191
612,4653,resolution,72,73.61,96
613,4663,resolution,24,25.65,99
614,4670,resolution,8,11.09,185
615,4694,resolution,72,77.15,308
616,4705,resolution,24,27.05,182
617,4713,resolution,24,28.33,259
618,4721,resolution,72,76.29,257
619,4724,resolution,24,26.66,159
620,4728,resolution,4,7.24,194
621,4733,resolution,72,76.48,268
622,4742,resolution,8,13.34,320
623,4744,resolution,24,26.0,119
624,4746,resolution,24,27.54,212
625,4754,resolution,24,25.34,80
626,4768,resolution,72,75.76,225
627,4776,resolution,24,29.76,345
628,4798,resolution,24,26.14,128
629,4800,resolution,24,25.89,113
630,4810,resolution,24,29.17,310
631,4826,resolution,72,75.45,207
632,4850,resolution,24,27.85,231
633,4860,resolution,8,13.77,346
634,4867,resolution,24,26.56,153
635,4869,resolution,24,27.57,214
636,4872,resolution,72,77.97,358
637,4878,resolution,8,13.97,358
638,4892,resolution,72,74.53,152
639,4899,resolution,24,28.42,265
640,4906,resolution,24,26.19,131
641,4908,resolution,72,74.47,148
642,4911,resolution,24,29.29,317
643,4912,resolution,24,29.75,344
644,4924,resolution,8,11.75,225
645,4935,resolution,72,73.21,72
646,4953,resolution,72,73.94,116
647,4957,resolution,24,25.97,118
648,4962,resolution,72,76.93,295
649,4967,resolution,4,7.22,193
650,4975,resolution,24,27.28,196
651,4977,resolution,24,27.24,194
652,4997,resolution,72,75.62,217
653,4999,resolution,8,12.05,243
654,5000,resolution,72,74.9,173
655,5011,resolution,72,75.53,211
656,5015,resolution,24,25.39,83
657,5018,resolution,72,76.89,293
658,5027,resolution,8,9.05,62
659,5034,resolution,72,76.53,272
660,5041,resolution,8,9.4,84
661,5075,resolution,72,75.84,230
662,5086,resolution,72,74.08,124
663,5088,resolution,24,26.48,148
664,5092,resolution,24,29.82,349
665,5106,resolution,24,27.17,190
666,5109,resolution,4,5.18,70
667,5113,resolution,24,26.16,129
668,5115,resolution,24,25.63,97
669,5118,resolution,24,29.48,328
670,5123,resolution,72,73.7,101
671,5126,resolution,24,26.97,178
672,5128,resolution,8,10.05,123
673,5129,resolution,8,9.25,74
674,5147,resolution,24,27.17,190
675,5157,resolution,72,75.57,214
676,5161,resolution,8,10.3,137
677,5173,resolution,24,26.85,171
678,5177,resolution,72,74.99,179
679,5178,resolution,24,25.88,112
680,5190,resolution,24,26.14,128
681,5193,resolution,24,28.17,250
682,5209,resolution,24,29.34,320
683,5211,resolution,72,77.65,338
684,5232,resolution,24,25.01,60
685,5241,resolution,8,12.43,265
686,5250,resolution,24,29.38,322
687,5261,resolution,8,11.78,226
688,5265,resolution,72,75.02,181
689,5267,resolution,72,73.58,95
690,5272,resolution,4,8.76,285
691,5279,resolution,72,76.66,279
692,5292,resolution,24,29.48,329
693,5310,resolution,8,9.85,111
694,5317,resolution,24,27.34,200
695,5338,resolution,24,29.58,334
696,5340,resolution,24,27.85,230
697,5354,resolution,8,12.35,261
698,5373,resolution,24,28.79,287
699,5384,resolution,24,27.06,183
700,5392,resolution,8,12.86,291
701,5408,resolution,72,74.63,157
702,5410,resolution,4,5.88,112
703,5434,resolution,24,29.33,319
704,5452,resolution,8,12.19,251
705,5459,resolution,72,73.72,103
706,5478,resolution,24,27.46,207
707,5490,resolution,24,27.74,224
708,5498,resolution,24,26.65,159
709,5503,resolution,72,75.91,234
710,5511,resolution,4,6.07,124
711,5512,resolution,24,29.58,335
712,5528,resolution,24,29.23,313
713,5535,resolution,24,26.21,132
714,5538,resolution,24,26.67,160
715,5546,resolution,24,25.91,114
716,5583,resolution,8,10.22,133
717,5620,resolution,24,26.91,174
718,5622,resolution,24,29.13,307
719,5643,resolution,24,26.13,127
720,5650,resolution,24,26.7,161
721,5652,resolution,72,73.25,74
722,5664,resolution,72,73.33,79
723,5666,resolution,72,77.76,345
724,5670,resolution,72,76.89,293
725,5672,resolution,72,74.06,123
726,5688,resolution,24,28.69,281
727,5689,resolution,24,29.24,314
728,5695,resolution,24,29.53,331
729,5697,resolution,24,29.38,322
730,5704,resolution,24,27.86,231
731,5707,resolution,8,9.64,98
732,5710,resolution,72,77.68,341
733,5717,resolution,72,76.09,245
734,5734,resolution,24,25.51,90
735,5738,resolution,72,76.25,255
736,5740,resolution,24,28.02,241
737,5747,resolution,24,29.05,302
738,5760,resolution,8,13.73,344
739,5785,resolution,24,25.62,97
740,5788,resolution,72,74.95,177
741,5807,resolution,72,77.28,316
742,5813,resolution,24,26.9,173
743,5822,resolution,72,73.91,114
744,5840,resolution,24,25.99,119
745,5848,resolution,8,9.53,91
746,5856,resolution,8,10.56,153
747,5877,resolution,72,75.06,183
748,5894,resolution,24,29.41,324
749,5895,resolution,24,25.76,105
750,5902,resolution,8,10.87,172
751,5911,resolution,72,76.21,252
752,5917,resolution,8,12.01,240
753,5922,resolution,24,25.01,60
754,5937,resolution,72,73.52,91
755,5960,resolution,24,28.16,249
756,5962,resolution,24,28.35,260
757,5966,resolution,24,26.07,124
758,5976,resolution,8,10.2,132
759,5978,resolution,24,27.95,237
760,5983,resolution,24,29.08,304
761,5987,resolution,24,27.38,203
762,5988,resolution,24,29.35,320
763,5995,resolution,72,73.4,83
764,6010,resolution,24,27.56,213
765,6018,resolution,24,27.4,204
766,6033,resolution,72,74.49,149
767,6042,resolution,72,75.76,225
768,6047,resolution,24,27.94,236
769,6067,resolution,8,9.01,60
770,6075,resolution,8,10.98,178
771,6079,resolution,24,28.75,284
772,6091,resolution,72,73.49,89
773,6120,resolution,4,9.15,309
774,6123,resolution,24,29.64,338
775,6132,resolution,24,25.45,87
776,6135,resolution,24,29.09,305
777,6141,resolution,72,75.67,220
778,6147,resolution,24,27.49,209
779,6148,resolution,24,26.42,145
780,6160,resolution,24,29.69,341
781,6162,resolution,24,30.0,359
782,6165,resolution,24,28.4,264
783,6169,resolution,24,29.96,357
784,6178,resolution,4,7.92,235
785,6183,resolution,8,9.03,61
786,6191,resolution,72,77.2,312
787,6192,resolution,24,26.49,149
788,6202,resolution,72,73.67,100
789,6212,resolution,24,26.04,122
790,6221,resolution,24,27.76,225
791,6227,resolution,24,25.73,103
792,6234,resolution,24,26.17,130
793,6246,resolution,72,76.11,246
794,6249,resolution,72,76.87,292
795,6252,resolution,72,75.3,198
796,6256,resolution,8,10.13,127
797,6257,resolution,72,74.29,137
798,6258,resolution,24,28.48,268
799,6262,resolution,8,12.55,272
800,6263,resolution,24,28.88,292
801,6266,resolution,72,74.9,173
802,6267,resolution,24,28.26,255
803,6268,resolution,72,74.78,166
804,6273,resolution,24,25.7,101
805,6276,resolution,8,11.03,182
806,6285,resolution,8,10.39,143
807,6314,resolution,72,77.95,356
808,6315,resolution,72,76.05,243
809,6316,resolution,24,28.01,240
810,6321,resolution,24,29.88,352
811,6326,resolution,24,28.97,298
812,6341,resolution,24,26.21,132
813,6346,resolution,24,29.77,346
814,6349,resolution,24,28.01,240
815,6352,resolution,24,28.36,261
816,6356,resolution,72,73.88,112
817,6359,resolution,8,13.23,313
818,6391,resolution,72,77.06,303
819,6400,resolution,24,29.35,321
820,6410,resolution,72,75.54,212
821,6422,resolution,24,26.39,143
822,6427,resolution,72,75.26,195
823,6434,resolution,24,27.61,216
824,6436,resolution,24,27.68,220
825,6439,resolution,24,26.19,131
